"Company","Contact Name","Title","Best Contact (verified/published only)","Contact Type","Phone","LinkedIn","Website","Lane","Priority Score","Suggested Next Step","Notes"
"LeadsMarket","","","https://www.leadsmarket.com/publisher-signup","Partnership/onboarding page","+1 888-260-1155","https://www.linkedin.com/company/leadsmarket-com","https://www.leadsmarket.com/","Marketplace (non-exclusive)","90","Apply as publisher (non-exclusive)","STRONGEST actual lead BUYER. Up to 90% rev share, weekly NET7. EXCLUSIVITY TENSION: resells non-exclusively - use for overflow/non-exclusive monetization, not the 'one exclusive pa"
"LeadNetwork","","","https://leadnetwork.com/Affiliates","Partnership/onboarding page","","https://www.linkedin.com/company/leadnetwork","https://leadnetwork.com/","Marketplace (non-exclusive)","86","Apply as publisher (non-exclusive)","Very strong fast-transact buyer; rev-share/CPA/tiered, weekly pay. Non-exclusive caveat. No public DM/email verified."
"Guild Mortgage","Nora Guerra","SVP, Community Lending Solutions","(no public email) reach via community-lending team / LinkedIn","Published role inbox","","","https://www.guildmortgage.com/","Direct lender (exclusive-pilot target)","82","Send exclusive-pilot email","TOP anchor. Confirmed retail ITIN program + a dedicated Community Lending SVP whose remit IS this borrower = ideal named DM. National scale (NYSE:GHLD). No personal email published"
"Engine by MoneyLion (Even Financial)","","","https://enginebymoneylion.com/","Partnership/onboarding page","","https://www.linkedin.com/company/enginebymoneylion","https://enginebymoneylion.com/","Marketplace (non-exclusive)","80","Apply as publisher (non-exclusive)","Large embedded-finance marketplace (MoneyLion NYSE:ML). Buys loan-shopping traffic at scale; enterprise onboarding = slower. Non-exclusive."
"New American Funding","Patty & Rick Arvielo","Co-Founders & Co-CEOs","https://www.newamericanfunding.com/about-us/our-leadership/","Partnership/onboarding page","(800) 890-1057","","https://www.newamericanfunding.com/","Direct lender (exclusive-pilot target)","78","Send exclusive-pilot email","STRONG anchor. Huge retail lender, explicit Latino-homeownership mission, bilingual ITIN LOs - can absorb ITIN leads at scale. Right buyer likely a VP/Dir Marketing or community-le"
"Griffin Funding","Bill Lyons","Founder, President & CEO","https://griffinfunding.com/","Partnership/onboarding page","(855) 394-8288","https://www.linkedin.com/in/lyons","https://griffinfunding.com/","Direct lender (exclusive-pilot target)","77","Send exclusive-pilot email","STRONG anchor. Direct-to-consumer with dozens of per-state ITIN landing pages = aggressive ITIN lead capture, so exclusive ITIN mortgage leads map onto their funnel. Small enough t"
"Alterra Home Loans (Panorama Mortgage Group)","Jason Madiedo","Co-Founder & CEO","https://www.goalterra.com/","Partnership/onboarding page","(877) 845-4805","https://www.linkedin.com/in/jason-madiedo-19463418/","https://www.goalterra.com/","Direct lender (exclusive-pilot target)","76","Send exclusive-pilot email","STRONG anchor. One of the largest Hispanic-owned mortgage cos; ITIN core to mission; RETAIL (consumes consumer leads). CEO Jason Madiedo is a nationally recognized Hispanic-homeown"
"Oportun","","","https://oportun.com/refer/","Partnership/onboarding page","(866) 488-6090","https://www.linkedin.com/company/oportun","https://oportun.com/","Direct lender (exclusive-pilot target)","72","Send exclusive-pilot email","Purest ITIN CONSUMER personal-loan brand (NASDAQ:OPRT; mission = underserved/immigrant). BUT only refer-a-friend is public; no evidence they buy 3rd-party leads. Worth a direct BD "
"LendingTree","","","https://www.lendingtree.com/about/partner-with-us/","Partnership/onboarding page","","https://www.linkedin.com/company/lendingtree","https://www.lendingtree.com/","Marketplace (non-exclusive)","72","Apply as publisher (non-exclusive)","Public marketplace (NASDAQ:TREE). Onboarding via external partner inquiry form. Partly a COMPETITOR (also sells leads). Non-exclusive. No contact email/DM on the page."
"Capital One","Elliot Pires","Director, Partnerships (verify consumer-card fit)","https://developer.capitalone.com/resources/affiliate-playbook","Partnership/onboarding page","1-877-383-4802","https://www.linkedin.com/in/elliotpires/","https://www.capitalone.com/","Card issuer (CPA/affiliate)","68","Join CPA/affiliate program","STRONG product fit (official ITIN card acceptance), HARD direct-buy fit: acquires via compliance-vetted CPA affiliate model (reportedly CJ), not bespoke exclusive-lead deals. Path:"
"Chase (JPMorgan)","Chris Reagan","President, Chase Branded Cards","https://www.cj.com/fintech","Partnership/onboarding page","1-800-935-9935","https://www.linkedin.com/in/chris-a-reagan","https://www.chase.com/","Card issuer (CPA/affiliate)","66","Join CPA/affiliate program","STRONG product fit: officially ITIN-friendly for cards, markets Freedom Rise to no-credit/ITIN applicants - a rare mega-bank welcoming this segment. WEAK direct-buy: runs through C"
"Westlake Financial","David Goff","VP of Marketing","https://www.westlakefinancial.com/dealer-lead-program/","Partnership/onboarding page","888-893-7937","https://www.linkedin.com/in/davidgoff/","https://www.westlakefinancial.com/","Direct lender (exclusive-pilot target)","62","Verify ITIN policy, then intro","Nationwide full-spectrum subprime auto lender = same thin-file profile as ITIN. BUT ITIN decision lives at DEALER level, so route leads to dealer network / dealer-lead program (Dav"
"Santander Consumer USA (RoadLoans)","Betty Jotanovic","President, Chrysler Capital & Auto Relationships","https://santanderconsumerusa.com/dealers/contact","Partnership/onboarding page","888-222-4227","","https://santanderconsumerusa.com/","Direct lender (exclusive-pilot target)","58","Verify ITIN policy, then intro","GOOD strategic fit: RoadLoans (direct-to-consumer arm) could actually consume purchased leads, and Jotanovic owns both dealer relations AND RoadLoans = ideal single target. ITIN no"
"HomeXpress Mortgage","David Grider","SVP of Sales","brokersupport@homexmortgage.com","Published email","(855) 598-1430","","https://homexmortgage.com/","Direct lender (exclusive-pilot target)","58","Send exclusive-pilot email","Real ITIN product but WHOLESALE-ONLY (funds through brokers), so unlikely to buy consumer leads directly. VERIFIED role inboxes brokersupport@ + info@homexmortgage.com (published o"
"OppFi (OppLoans)","","","https://www.oppfi.com/","Website / contact form","","https://www.linkedin.com/company/oppfi","https://www.oppfi.com/","Direct lender (exclusive-pilot target)","58","Verify ITIN policy, then intro","National-ish subprime personal installment lender (NYSE:OPFI); same near-prime/thin-file borrower as ITIN base. ITIN acceptance NOT confirmed - verify directly before pitching."
"American Express","Stephanie Schultz","BD & Partnerships, Consumer business","https://www.americanexpress.com/en-us/business/business-alliance-program/","Partnership/onboarding page","1-844-273-1384","https://www.linkedin.com/in/stephanie-schultz-81645213/","https://www.americanexpress.com/","Card issuer (CPA/affiliate)","56","Join CPA/affiliate program","MODERATE, card-only (NO auto). ITIN acceptance third-party-reported, not official - don't represent as official. Channel = card affiliate (CJ/Rakuten/Impact); Business Alliance is "
"Camino Financial (Quantum Lending Solutions)","","","https://www.caminofinancial.com/","Partnership/onboarding page","","https://www.linkedin.com/company/camino-financial","https://www.caminofinancial.com/","Business lender (referral only)","56","Send exclusive-pilot email","ITIN-forward (Latino immigrant focus) WITH an affiliate/partner program via successor Quantum Lending Solutions - but product is now BUSINESS loans, not consumer. Fit only for ITIN"
"Exeter Finance","Matthew Page","SVP of Sales","dealersupport@exeterfinance.com","Published email","1-855-439-3837","","https://www.exeterfinance.com/","Direct lender (exclusive-pilot target)","55","Verify ITIN policy, then intro","Pure-play nationwide subprime auto; borrower overlap high. VERIFIED role inbox dealersupport@ (dealer-onboarding, published). Route ITIN auto leads via dealers. Compliance-sensitiv"
"Capital Good Fund","Andy Posner","CEO & Founder","financialcoaching@capitalgoodfund.org","Published role inbox","","https://www.linkedin.com/in/andrew-posner-8888a521","https://capitalgoodfund.org/","Direct lender (exclusive-pilot target)","52","Send exclusive-pilot email","Rare multi-state CONSUMER CDFI that explicitly accepts ITIN. But 501(c)(3), grant-funded, 18% cap - unlikely to PAY for leads; referral/mission partnership at best. Role inbox: fin"
"LiftFund","Liliane Spenle","Partnerships contact","lspenle@liftfund.com","Published email","+1 888-215-2373","","https://www.liftfund.com/","Business lender (referral only)","50","Send exclusive-pilot email","ONLY verified PERSONAL email in the set (literally published on partners page). But product = BUSINESS loans, referral not purchase. Fit for ITIN small-business-owner referrals. Sa"
"Newfi Lending / Newfi Wholesale","Wendy Licis","SVP, Sales (Wholesale)","https://www.newfiwholesale.com/","Partnership/onboarding page","","","https://newfi.com/","Direct lender (exclusive-pilot target)","48","Send exclusive-pilot email","ITIN claim rests on a search snippet, not a fetched product page - VERIFY before outreach. Wholesale-channel caveat (partnership over lead-sale)."
"Accion Opportunity Fund","Adriana Eiriz","SVP Partnerships","https://aofund.org/","Partnership/onboarding page","877-525-1555","","https://aofund.org/","Business lender (referral only)","46","Verify ITIN policy, then intro","Largest nonprofit small-business CDFI. Model = receiving referrals from platform partners (Gusto/QuickBooks/UPS), not buying leads. Product = business. ITIN not confirmed on own si"
"Mission Asset Fund","Efrain Segundo Orozco","Director of Partnerships","programs@missionassetfund.org","Published role inbox","+1 888-274-4808","https://www.linkedin.com/in/efrain-segundo-orozco-b8a456133/","https://www.missionassetfund.org/","Business lender (referral only)","44","Send exclusive-pilot email","Strong audience alignment but 0% tiny loans, nonprofit - not a paid lead buyer. Referral/mission only. Role inbox: programs@missionassetfund.org."
"Zolve","Raghunandan G","Founder & CEO","https://zolve.com/referral","Partnership/onboarding page","","https://in.linkedin.com/in/graghunandan","https://zolve.com/","Direct lender (exclusive-pilot target)","42","Send exclusive-pilot email","ITIN-accepting newcomer neobank, but flagship = credit CARD (issued by Community Federal Savings Bank) and its loans push users OUT to third-party lenders - structurally a competit"
"Change Home Mortgage (Change Wholesale)","","","https://www.changewholesale.com/","Partnership/onboarding page","","","https://www.changewholesale.com/","Direct lender (exclusive-pilot target)","40","Verify ITIN policy, then intro","ITIN product NOT confirmed - check product guidelines PDF before spending outreach. Wholesale. Deprioritize vs confirmed-ITIN lenders. DM unidentified."
"Justine Petersen","Aida Richardson, MSW","Chief Lending Officer","https://justinepetersen.org/get-started/partner/","Partnership/onboarding page","314.533.2411","","https://justinepetersen.org/","Business lender (referral only)","36","Verify ITIN policy, then intro","Regional (MO) nonprofit business lender. Product + geography mismatch; ITIN unconfirmed. Referral-only."
"Ascendus","Victoria Richardson","Chief Development Officer","info@ascendus.org / press@ascendus.org","Published role inbox","(866) 245-0783","https://www.linkedin.com/in/victorianrichardson/","https://www.ascendus.org/","Business lender (referral only)","32","Verify ITIN policy, then intro","Business CDFI. Partner page EXPLICITLY refuses 'brokers or any other intermediaries' - disqualifies a paid-lead relationship. Role inboxes info@ / press@ascendus.org."
"Nova Credit","Cloris Guo","Director, Strategic Partnerships","help@novacredit.com (support only)","Published role inbox","","https://www.linkedin.com/in/cloris-guo-779399b/","https://www.novacredit.com/","Low / disqualified","30","Verify ITIN policy, then intro","Not a lender - can't buy consumer leads. Value = ECOSYSTEM partner (its lender clients ARE the ITIN-lead buyers). Role inboxes help@ / privacy@novacredit.com only."
"DriveTime","","","https://www.drivetime.com/","Website / contact form","","https://www.linkedin.com/company/drivetime","https://www.drivetime.com/","Low / disqualified","28","Verify ITIN policy, then intro","WEAK: published approval REQUIRES SSN (no ITIN alternative), and closed model = no doorway to sell leads into. Deprioritize unless DriveTime confirms an ITIN path."
"Forward Community Investments","Ryan Zerwer","President & CEO","https://www.forwardci.org/partnerships/","Partnership/onboarding page","608.257.3863","https://www.linkedin.com/in/ryanzerwer/","https://www.forwardci.org/","Business lender (referral only)","20","Verify ITIN policy, then intro","DISQUALIFY - WI-only org/nonprofit lender, no consumer loans, not a lead buyer."
"Stilt (J.G. Wentworth)","","","https://stilt.com/","Website / contact form","","","https://stilt.com/","Low / disqualified","12","Send exclusive-pilot email","DISQUALIFY - lending program ON HOLD/paused after J.G. Wentworth acquisition. Not actively originating."
