date,target,url,type,status,notes
2026-07-18,LinkedIn Company Page,https://www.linkedin.com/company/timberlineventuresllc,profile,live,"Full NAP + description; logo pending Bob"
2026-07-18,USAHello,hello@usahello.org,email-outreach,draft-ready,"Gmail draft r8818719382543508633; no public form exists"
2026-07-18,Jump$tart Clearinghouse,suzann.knight@jumpstart.org,email-outreach,draft-ready,"Gmail draft; asks listing criteria; signup at jumpstartclearinghouse.org/account/create if they say yes"
2026-07-18,Immigrants Rising,info@immigrantsrising.org,email-outreach,draft-ready,"Gmail draft; no submit form on site"
2026-07-18,AllTop,https://www.alltop.com/contact,web-form,filled-pending-bob,"Form filled (Business topic + 3 RSS URLs); Cloudflare human-check + Send = Bob's clicks"
2026-07-18,Feedspot,feedspot.com,web-form,skipped,"Submit URL dead; submission funnels to paid flow — revisit only if worth $"
2026-07-18,Informed Immigrant,informedimmigrant.com,none,skipped,"No submission channel found; social-only"
2026-07-18,My Undocumented Life,mydocumentedlife.org,none,skipped,"No contact email/form found; social-only"
2026-05-27,Product Hunt (Pour Picks),https://www.producthunt.com/products/pour-picks?launch=pour-picks,app-listing,live,"Launched pre-Link-Engine; 3 upvotes; re-launch eligible ~Nov 2026"
2026-07-21,Product Hunt (Perfume Picks),producthunt.com,app-listing,scheduled,"Launches Jul 21 12:01AM PDT (Bob scheduled)"
2026-07-24,Product Hunt (ITIN Lending),producthunt.com,site-listing,scheduled,"Launches Fri Jul 24 12:01AM PT; draft completed by Claude (link+X+desc de-AId+first comment humanized); gallery shows pre-redesign screenshots - Bob may swap"
2026-07-28,Product Hunt (ITIN Credit Card),producthunt.com,site-listing,scheduled,"Scheduled Tue Jul 28 12:01AM PT; draft fully built by Claude, checklist 100%"
2026-07-31,Product Hunt (ITIN Credit Score),producthunt.com,site-listing,scheduled,"Scheduled Fri Jul 31 12:01AM PT; draft fully built by Claude, checklist 100%"
2026-08-04,Product Hunt (Well Worth Products),producthunt.com,store-listing,scheduled,"SCHEDULED Tue Aug 4 12:01AM PT; Bob added logo thumbnail + gallery; Hunter not Maker, honest partner comment, Cars+E-Commerce tags; investor-connect form deliberately left blank (WW's call)"
2026-07-19,PH forum thread v1 (rejected),https://www.producthunt.com/p/general/name-3-fragrances-you-own-and-i-ll-tell-you-what-to-try-next,forum-post,REJECTED,"Rejected as engagement-farming (reply-and-I-ll-do-X hook); NOT off-topic (General allows product recs)"
2026-07-19,PH forum thread v2 (Perfume Picks),https://www.producthunt.com/p/general/the-bottle-you-regret-buying-teaches-you-more-than-your-favorites,forum-post,pending-review,"Reframed as real discussion w/ POV + 2 open questions; humanize gate exit 0; day before Mon 7/21 launch"
